DayOfWeek,DayOfWeekSVM,DayOfWeekXaxis
0.705898798,0.778573475,0
0.764768306,0.774358974,1
0.766506824,0.772197309,2
0.751735537,0.764512955,3
0.756528227,0.772424398,4
0.725140129,0.782688205,5
0.655638215,0.782162743,6
